"","GameNum","LocationCombination","MedicineCombination","Health","Funds","Shot","Destroyed","Missed","PercentDestroyed"
"1",759,"13","RB",0,461,12,9,3,75
"2",761,"13","RB",0,431,8,6,2,75
"3",852,"13","RB",0,446,11,7,4,63.6363636363636
"4",873,"13","RB",0,426,13,7,6,53.8461538461538
"5",897,"13","RR",0,446,7,7,0,100
"6",964,"13","RB",0,443,10,7,3,70
"7",1037,"12","RB",0,461,12,10,2,83.3333333333333
"8",1091,"13","RB",0,437,10,5,5,50
"9",1156,"13","RB",0,449,10,9,1,90
"10",1168,"13","RB",0,449,9,8,1,88.8888888888889
"11",1173,"13","RB",0,458,10,10,0,100
"12",1179,"13","RB",2,467,11,10,1,90.9090909090909
"13",1180,"13","RB",0,443,15,7,8,46.6666666666667
"14",1232,"13","RB",0,440,9,7,2,77.7777777777778
"15",1235,"13","RB",0,461,10,9,1,90
"16",1238,"13","RB",0,455,10,9,1,90
"17",1285,"12","RB",3,70,10,10,0,100
"18",1360,"13","RB",0,449,9,8,1,88.8888888888889
"19",1382,"13","RB",0,452,10,8,2,80
"20",1385,"13","RB",0,443,11,6,5,54.5454545454545
"21",1394,"13","RB",0,437,8,5,3,62.5
"22",1414,"12","RB",3,60,11,10,1,90.9090909090909
"23",1429,"13","RB",0,443,10,8,2,80
"24",1506,"13","RB",0,455,12,9,3,75
"25",1510,"13","RB",0,458,11,8,3,72.7272727272727
"26",1549,"13","RB",0,446,9,8,1,88.8888888888889
"27",1562,"13","RB",0,449,11,9,2,81.8181818181818
"28",1585,"13","RB",1,464,10,10,0,100
"29",1593,"13","RB",0,449,10,9,1,90
"30",1664,"13","RB",0,452,12,9,3,75
"31",1682,"13","RB",0,416,9,9,0,100
"32",1731,"13","RB",0,455,10,8,2,80
"33",1741,"13","RR",0,449,9,8,1,88.8888888888889
"34",1752,"13","RR",2,467,10,10,0,100
"35",1762,"13","RR",0,437,9,7,2,77.7777777777778
"36",1977,"13","BR",0,443,8,6,2,75
"37",2137,"13","RB",0,461,11,10,1,90.9090909090909
"38",2165,"13","RB",0,443,10,6,4,60
"39",2220,"13","BR",0,443,13,7,6,53.8461538461538
"40",2237,"13","RB",0,452,10,8,2,80
"41",2242,"12","RR",2,67,11,10,1,90.9090909090909
"42",2267,"13","RB",0,428,10,5,5,50
"43",2531,"12","RB",3,70,11,10,1,90.9090909090909
