"","GameNum","LocationCombination","MedicineCombination","Health","Funds","Shot","Destroyed","Missed","PercentDestroyed"
"1",357,"12","RB",3,410,5,5,0,100
"2",359,"13","RR",2,227,5,4,1,80
"3",504,"12","BR",1,404,5,5,0,100
"4",512,"12","RB",0,389,5,4,1,80
"5",522,"12","RB",0,395,6,3,3,50
"6",528,"14","RB",0,32,2,2,0,100
"7",584,"13","RR",0,389,2,1,1,50
"8",592,"13","RB",0,389,4,4,0,100
"9",598,"12","RR",3,210,6,5,1,83.3333333333333
"10",619,"12","RR",0,398,5,5,0,100
"11",622,"12","RB",0,398,5,5,0,100
"12",665,"13","RR",0,389,2,2,0,100
"13",758,"13","RB",0,401,6,4,2,66.6666666666667
"14",759,"13","RB",3,410,5,5,0,100
"15",760,"13","RB",0,392,3,2,1,66.6666666666667
"16",761,"13","RB",1,404,6,5,1,83.3333333333333
"17",762,"13","RB",0,395,4,2,2,50
"18",773,"13","RR",0,401,5,4,1,80
"19",784,"13","RR",0,401,5,3,2,60
"20",835,"12","RB",0,356,6,3,3,50
"21",839,"13","RB",0,325,5,2,3,40
"22",840,"13","RB",0,389,3,3,0,100
"23",842,"13","RB",0,401,6,4,2,66.6666666666667
"24",845,"13","RB",0,383,3,3,0,100
"25",849,"13","RB",0,401,5,3,2,60
"26",850,"13","RB",0,392,3,2,1,66.6666666666667
"27",852,"13","RB",1,404,6,4,2,66.6666666666667
"28",873,"13","RR",3,410,6,5,1,83.3333333333333
"29",874,"13","RR",0,389,5,2,3,40
"30",897,"13","RR",1,404,5,3,2,60
"31",928,"12","RB",0,395,4,3,1,75
"32",931,"13","RR",3,239,5,4,1,80
"33",961,"12","RB",0,215,6,4,2,66.6666666666667
"34",962,"13","RR",0,401,7,2,5,28.5714285714286
"35",964,"13","RB",1,404,6,5,1,83.3333333333333
"36",978,"12","RB",0,389,5,3,2,60
"37",994,"13","RB",0,392,3,2,1,66.6666666666667
"38",997,"13","BR",0,392,4,3,1,75
"39",1028,"13","RB",0,389,3,3,0,100
"40",1030,"12","RB",0,398,5,4,1,80
"41",1035,"12","RB",0,398,6,4,2,66.6666666666667
"42",1037,"12","RB",2,407,5,4,1,80
"43",1038,"12","RB",0,401,6,5,1,83.3333333333333
"44",1039,"12","RB",0,398,5,3,2,60
"45",1060,"23","RR",0,392,3,3,0,100
"46",1091,"13","RB",2,407,5,5,0,100
"47",1092,"13","RB",0,392,3,3,0,100
"48",1093,"13","RB",0,389,3,3,0,100
"49",1096,"13","RB",0,395,3,2,1,66.6666666666667
"50",1102,"13","BR",0,392,4,2,2,50
"51",1107,"14","RB",0,383,3,1,2,33.3333333333333
"52",1113,"12","RB",0,401,6,4,2,66.6666666666667
"53",1126,"14","RR",0,38,3,3,0,100
"54",1128,"13","RB",0,389,4,2,2,50
"55",1134,"23","RR",0,23,4,1,3,25
"56",1156,"13","RB",2,407,5,4,1,80
"57",1158,"13","RB",0,392,4,2,2,50
"58",1160,"13","RB",0,395,4,3,1,75
"59",1161,"13","RB",0,383,3,1,2,33.3333333333333
"60",1162,"13","RB",0,392,4,2,2,50
"61",1164,"13","RB",0,398,4,4,0,100
"62",1166,"13","RB",0,392,3,2,1,66.6666666666667
"63",1167,"13","RB",0,392,3,2,1,66.6666666666667
"64",1168,"13","RB",2,407,6,5,1,83.3333333333333
"65",1171,"13","RB",0,389,4,2,2,50
"66",1172,"13","RB",0,383,2,1,1,50
"67",1173,"13","RB",1,404,4,4,0,100
"68",1174,"13","RB",0,389,4,3,1,75
"69",1175,"13","RB",0,383,4,2,2,50
"70",1177,"13","RB",0,392,4,3,1,75
"71",1178,"13","RB",0,395,4,3,1,75
"72",1179,"13","RB",2,407,5,4,1,80
"73",1180,"13","RB",2,407,5,5,0,100
"74",1181,"13","RB",0,389,2,1,1,50
"75",1182,"13","RB",0,386,3,1,2,33.3333333333333
"76",1223,"12","RB",0,401,5,4,1,80
"77",1225,"13","RB",0,386,3,2,1,66.6666666666667
"78",1229,"13","RB",0,398,4,2,2,50
"79",1231,"13","RB",0,392,3,3,0,100
"80",1232,"13","RB",1,404,5,3,2,60
"81",1233,"13","RB",0,386,3,2,1,66.6666666666667
"82",1234,"13","RB",0,383,2,1,1,50
"83",1235,"13","RB",2,407,5,5,0,100
"84",1238,"13","RB",1,404,5,3,2,60
"85",1240,"13","RB",0,389,2,1,1,50
"86",1241,"13","RB",0,389,3,3,0,100
"87",1242,"13","RB",0,392,4,3,1,75
"88",1248,"13","RB",1,404,5,5,0,100
"89",1329,"14","BB",0,14,3,2,1,66.6666666666667
"90",1330,"12","RB",1,404,4,3,1,75
"91",1331,"13","RB",0,401,5,3,2,60
"92",1332,"12","RB",0,218,5,2,3,40
"93",1333,"13","RB",0,395,3,3,0,100
"94",1337,"13","RB",0,389,3,2,1,66.6666666666667
"95",1342,"13","RB",0,395,4,3,1,75
"96",1345,"13","RB",0,392,4,2,2,50
"97",1346,"13","RB",0,398,4,3,1,75
"98",1348,"12","BB",0,377,4,3,1,75
"99",1351,"13","RB",0,395,2,1,1,50
"100",1354,"13","RB",0,395,4,3,1,75
"101",1360,"13","RB",2,407,4,4,0,100
"102",1361,"13","RB",0,401,4,4,0,100
"103",1365,"13","RB",0,392,4,1,3,25
"104",1369,"13","RB",0,377,2,1,1,50
"105",1370,"13","RB",0,401,5,4,1,80
"106",1372,"13","RB",0,392,3,3,0,100
"107",1375,"13","RB",0,395,6,4,2,66.6666666666667
"108",1377,"13","BR",0,401,4,4,0,100
"109",1378,"13","RB",0,398,5,4,1,80
"110",1379,"13","RB",0,380,5,1,4,20
"111",1382,"13","RB",1,404,5,3,2,60
"112",1385,"13","RB",2,407,5,4,1,80
"113",1386,"13","RB",0,389,5,4,1,80
"114",1389,"13","RB",0,392,4,3,1,75
"115",1390,"13","RB",0,392,4,2,2,50
"116",1391,"13","RB",0,389,4,1,3,25
"117",1394,"13","RB",1,404,6,4,2,66.6666666666667
"118",1399,"13","RB",0,386,3,2,1,66.6666666666667
"119",1401,"13","RB",0,378,5,4,1,80
"120",1402,"13","RB",0,383,3,2,1,66.6666666666667
"121",1404,"13","RB",0,398,5,3,2,60
"122",1405,"13","RB",0,389,2,2,0,100
"123",1409,"13","RB",0,395,4,3,1,75
"124",1415,"13","RB",0,392,3,3,0,100
"125",1418,"13","RB",0,398,5,2,3,40
"126",1420,"13","RB",0,392,4,3,1,75
"127",1421,"13","RB",0,392,4,2,2,50
"128",1425,"13","RB",0,386,2,2,0,100
"129",1428,"13","RB",0,389,2,2,0,100
"130",1429,"13","RB",2,407,6,5,1,83.3333333333333
"131",1430,"13","RB",0,389,2,2,0,100
"132",1432,"13","RB",0,386,3,3,0,100
"133",1440,"13","RB",0,392,5,3,2,60
"134",1445,"13","RB",0,395,5,2,3,40
"135",1463,"13","RR",0,371,5,4,1,80
"136",1467,"23","RB",0,14,3,2,1,66.6666666666667
"137",1471,"13","RB",0,392,4,3,1,75
"138",1472,"13","RB",0,401,5,4,1,80
"139",1477,"13","RB",0,389,4,3,1,75
"140",1480,"13","RB",0,380,3,2,1,66.6666666666667
"141",1487,"13","RB",0,386,5,3,2,60
"142",1488,"13","RB",0,401,6,4,2,66.6666666666667
"143",1494,"12","BR",0,212,7,5,2,71.4285714285714
"144",1505,"13","RB",0,398,5,4,1,80
"145",1506,"13","RB",3,410,5,5,0,100
"146",1509,"13","RB",0,392,6,1,5,16.6666666666667
"147",1510,"13","RB",3,410,5,5,0,100
"148",1513,"13","RB",0,401,5,4,1,80
"149",1521,"13","RB",0,377,5,1,4,20
"150",1538,"13","RB",0,401,5,3,2,60
"151",1544,"13","RR",1,404,5,4,1,80
"152",1545,"13","RB",0,398,6,4,2,66.6666666666667
"153",1549,"13","RB",1,404,6,5,1,83.3333333333333
"154",1554,"12","RB",0,392,5,4,1,80
"155",1560,"13","RB",0,401,4,4,0,100
"156",1562,"13","RB",1,404,5,5,0,100
"157",1566,"13","RB",0,386,3,3,0,100
"158",1567,"13","RB",0,395,4,3,1,75
"159",1569,"13","RB",0,392,3,2,1,66.6666666666667
"160",1579,"13","RB",0,395,4,3,1,75
"161",1581,"13","RB",0,398,4,4,0,100
"162",1585,"13","RB",1,404,5,3,2,60
"163",1593,"13","RB",1,404,6,5,1,83.3333333333333
"164",1617,"13","RB",1,404,6,3,3,50
"165",1618,"13","RB",0,395,3,3,0,100
"166",1647,"12","BR",0,398,4,3,1,75
"167",1654,"13","RB",0,383,4,3,1,75
"168",1657,"13","RB",0,386,3,1,2,33.3333333333333
"169",1660,"13","RB",0,401,5,5,0,100
"170",1662,"13","RB",0,392,5,2,3,40
"171",1663,"13","RB",0,395,4,3,1,75
"172",1664,"13","RB",1,404,6,4,2,66.6666666666667
"173",1665,"13","RB",0,398,6,3,3,50
"174",1671,"13","RB",0,401,5,4,1,80
"175",1673,"12","RB",3,210,6,5,1,83.3333333333333
"176",1678,"13","RB",0,395,4,3,1,75
"177",1680,"13","RB",0,398,4,3,1,75
"178",1682,"13","RB",1,374,6,5,1,83.3333333333333
"179",1687,"13","RB",0,389,3,2,1,66.6666666666667
"180",1730,"13","RB",0,401,4,3,1,75
"181",1731,"13","RB",2,407,5,5,0,100
"182",1741,"13","RR",2,407,5,4,1,80
"183",1744,"13","BR",0,375,4,2,2,50
"184",1746,"13","RB",0,398,4,4,0,100
"185",1747,"13","RB",0,380,3,2,1,66.6666666666667
"186",1748,"13","RB",0,389,2,1,1,50
"187",1749,"13","RB",0,395,5,2,3,40
"188",1750,"13","RB",0,386,4,1,3,25
"189",1751,"13","BB",0,377,3,2,1,66.6666666666667
"190",1752,"13","RR",2,407,4,4,0,100
"191",1753,"13","BR",0,389,5,2,3,40
"192",1758,"13","BB",0,401,5,3,2,60
"193",1759,"13","BB",0,392,5,3,2,60
"194",1760,"13","RR",0,401,5,4,1,80
"195",1762,"13","RR",1,404,5,3,2,60
"196",1763,"13","RR",0,398,5,3,2,60
"197",1764,"13","RR",0,383,3,2,1,66.6666666666667
"198",1765,"13","RR",0,398,4,3,1,75
"199",1766,"13","RB",0,389,3,2,1,66.6666666666667
"200",1767,"13","RR",0,395,3,3,0,100
"201",1768,"13","RR",0,398,4,3,1,75
"202",1770,"13","BR",0,392,3,3,0,100
"203",1771,"13","RR",0,398,4,2,2,50
"204",1772,"13","RR",0,395,5,2,3,40
"205",1773,"13","RB",0,401,4,3,1,75
"206",1830,"13","RB",0,398,4,4,0,100
"207",1831,"13","RB",0,389,5,3,2,60
"208",1833,"13","RB",2,407,5,5,0,100
"209",1838,"13","RB",0,356,3,2,1,66.6666666666667
"210",1851,"13","BB",0,392,3,2,1,66.6666666666667
"211",1852,"13","BB",0,389,3,3,0,100
"212",1930,"13","BR",0,389,4,4,0,100
"213",1931,"13","BR",0,401,5,4,1,80
"214",1951,"23","RR",0,389,3,1,2,33.3333333333333
"215",1952,"13","RB",0,389,3,1,2,33.3333333333333
"216",1953,"12","RB",0,392,5,3,2,60
"217",1957,"23","RB",0,389,4,2,2,50
"218",1974,"12","RB",0,398,5,3,2,60
"219",1977,"13","BR",1,404,4,3,1,75
"220",1987,"13","RB",0,389,4,1,3,25
"221",2022,"13","RR",0,386,3,2,1,66.6666666666667
"222",2025,"13","BB",0,386,3,3,0,100
"223",2059,"13","BR",0,395,5,4,1,80
"224",2061,"13","BR",0,401,5,3,2,60
"225",2063,"13","BR",0,395,4,4,0,100
"226",2066,"13","BR",0,395,5,4,1,80
"227",2109,"13","RB",0,392,5,2,3,40
"228",2133,"13","RB",0,389,3,2,1,66.6666666666667
"229",2137,"13","RB",3,410,5,5,0,100
"230",2154,"13","RB",0,374,5,1,4,20
"231",2165,"13","RB",1,404,5,3,2,60
"232",2192,"13","RB",0,395,4,2,2,50
"233",2220,"13","BR",2,407,6,5,1,83.3333333333333
"234",2237,"13","RB",1,404,5,4,1,80
"235",2238,"13","BB",0,386,3,2,1,66.6666666666667
"236",2267,"13","RB",1,404,6,5,1,83.3333333333333
"237",2268,"13","RB",0,389,4,2,2,50
"238",2269,"13","RB",0,398,4,4,0,100
"239",2270,"13","RB",0,389,3,2,1,66.6666666666667
"240",2279,"13","BB",0,395,5,4,1,80
"241",2313,"13","RB",0,401,4,4,0,100
"242",2314,"13","RB",0,395,4,1,3,25
"243",2315,"13","RB",0,371,3,2,1,66.6666666666667
"244",2316,"13","RB",0,398,4,3,1,75
"245",2340,"12","RB",3,292,5,4,1,80
"246",2351,"12","RB",3,210,7,5,2,71.4285714285714
"247",2515,"12","BR",0,215,3,3,0,100
"248",2523,"12","RB",0,401,5,5,0,100
"249",2531,"12","RB",3,210,5,5,0,100
"250",2540,"12","RB",0,398,4,3,1,75
"251",2561,"12","BB",0,392,4,4,0,100
"252",2562,"12","BB",0,395,6,5,1,83.3333333333333
"253",2563,"34","RB",0,398,5,2,3,40
"254",2564,"12","BB",0,389,5,3,2,60
"255",2566,"12","BB",0,395,6,3,3,50
"256",2567,"34","BR",0,395,3,3,0,100
"257",2568,"12","BB",0,401,5,5,0,100
"258",2570,"12","BB",0,401,5,2,3,40
"259",2571,"34","RR",0,392,3,2,1,66.6666666666667
"260",2575,"24","RB",0,383,1,1,0,100
"261",2576,"12","RR",0,401,5,4,1,80
"262",2577,"24","BR",0,398,4,4,0,100
"263",2578,"24","RR",0,398,6,3,3,50
"264",2579,"24","BB",0,377,3,2,1,66.6666666666667
"265",2580,"14","BB",0,392,3,2,1,66.6666666666667
"266",2581,"24","RB",0,383,2,1,1,50
"267",2582,"14","BB",0,386,3,3,0,100
"268",2583,"14","BB",0,377,4,3,1,75
"269",2584,"24","RR",0,395,3,2,1,66.6666666666667
"270",2585,"14","BB",0,386,3,2,1,66.6666666666667
"271",2586,"14","BB",0,383,3,2,1,66.6666666666667
"272",2587,"34","RB",0,401,5,4,1,80
"273",2589,"34","RB",0,377,1,0,1,0
"274",2591,"34","BB",0,389,2,2,0,100
"275",2592,"34","RR",0,389,1,1,0,100
"276",2593,"14","BB",0,392,4,1,3,25
"277",2594,"14","BR",0,389,4,2,2,50
"278",2595,"34","RR",0,377,1,0,1,0
"279",2598,"34","RR",0,380,1,1,0,100
"280",2599,"14","BR",0,398,4,3,1,75
"281",2600,"34","BB",0,401,5,3,2,60
"282",2601,"24","BR",0,398,4,3,1,75
"283",2602,"24","RB",0,386,2,0,2,0
"284",2603,"14","RB",0,389,4,3,1,75
"285",2604,"24","BB",0,371,2,2,0,100
"286",2605,"24","RB",0,398,4,3,1,75
"287",2607,"24","BB",0,374,1,1,0,100
"288",2609,"24","RB",0,380,3,1,2,33.3333333333333
"289",2610,"24","BR",0,398,4,3,1,75
"290",2611,"24","RB",0,383,2,0,2,0
"291",2612,"24","RB",0,395,4,2,2,50
"292",2613,"14","RB",0,398,4,2,2,50
"293",2614,"24","BR",0,380,2,2,0,100
"294",2615,"14","RR",0,389,3,3,0,100
"295",2616,"24","RB",0,398,4,3,1,75
"296",2617,"24","BB",0,389,3,1,2,33.3333333333333
"297",2618,"14","RR",0,392,4,0,4,0
"298",2619,"24","BB",0,392,3,2,1,66.6666666666667
"299",2620,"14","RR",0,401,6,2,4,33.3333333333333
"300",2621,"24","BB",0,392,3,3,0,100
"301",2622,"14","RR",0,383,2,1,1,50
"302",2623,"24","RR",0,398,5,3,2,60
"303",2625,"24","RR",0,389,3,1,2,33.3333333333333
"304",2626,"34","RR",0,383,1,1,0,100
"305",2627,"34","BB",0,389,2,1,1,50
"306",2628,"34","RR",0,392,2,2,0,100
"307",2630,"34","RR",0,401,5,2,3,40
"308",2631,"34","RR",0,374,1,0,1,0
"309",2632,"23","BB",0,374,2,1,1,50
"310",2633,"34","RB",0,401,5,4,1,80
"311",2635,"34","BR",0,389,1,1,0,100
"312",2636,"23","BB",0,383,3,2,1,66.6666666666667
"313",2639,"23","BB",0,386,2,2,0,100
"314",2640,"34","RB",0,392,2,2,0,100
"315",2643,"23","BR",0,389,2,1,1,50
"316",2644,"34","RR",0,392,3,1,2,33.3333333333333
"317",2645,"34","BB",0,380,1,1,0,100
"318",2646,"23","BR",0,398,4,4,0,100
"319",2647,"24","RB",0,398,4,3,1,75
"320",2648,"24","RB",0,398,4,3,1,75
"321",2649,"23","BR",0,392,3,2,1,66.6666666666667
"322",2650,"24","BR",0,395,3,2,1,66.6666666666667
"323",2651,"23","BR",0,389,2,2,0,100
"324",2652,"24","RB",0,386,2,0,2,0
"325",2653,"24","BR",0,395,5,2,3,40
"326",2654,"23","BR",0,392,3,2,1,66.6666666666667
"327",2655,"24","BR",0,383,2,2,0,100
"328",2656,"24","RB",0,401,5,4,1,80
"329",2657,"24","RB",0,389,2,2,0,100
"330",2658,"24","RB",0,389,2,1,1,50
"331",2659,"24","BR",0,398,3,3,0,100
"332",2660,"23","RB",0,389,2,2,0,100
"333",2661,"24","RB",0,395,4,0,4,0
"334",2662,"24","BB",0,389,3,3,0,100
"335",2663,"23","RB",0,392,4,2,2,50
"336",2664,"24","RR",0,392,5,1,4,20
"337",2665,"23","RR",0,401,5,3,2,60
"338",2666,"23","RR",0,389,3,2,1,66.6666666666667
"339",2667,"24","RR",0,389,3,1,2,33.3333333333333
"340",2668,"23","RR",0,377,2,1,1,50
"341",2669,"24","RR",0,401,5,3,2,60
"342",2670,"24","BB",0,365,1,1,0,100
"343",2671,"23","RR",0,395,6,2,4,33.3333333333333
"344",2674,"34","BR",0,398,4,3,1,75
"345",2675,"34","BR",0,392,2,2,0,100
"346",2678,"14","BR",0,401,5,2,3,40
"347",2680,"14","BR",0,398,5,3,2,60
"348",2681,"24","RR",0,395,4,2,2,50
"349",2682,"24","RB",0,380,2,2,0,100
"350",2683,"24","RR",0,389,1,1,0,100
"351",2684,"14","BR",0,398,3,2,1,66.6666666666667
"352",2685,"24","BB",0,374,2,1,1,50
"353",2686,"24","BB",0,392,3,3,0,100
"354",2687,"24","BB",0,377,2,2,0,100
"355",2688,"14","BR",0,378,4,2,2,50
"356",2689,"24","BB",0,383,2,1,1,50
"357",2690,"24","RR",0,401,6,3,3,50
"358",2691,"24","BB",0,389,2,2,0,100
"359",2692,"24","BR",0,389,2,2,0,100
"360",2693,"14","RB",0,389,3,1,2,33.3333333333333
"361",2694,"24","BR",0,395,3,3,0,100
"362",2695,"24","BR",0,383,3,2,1,66.6666666666667
"363",2696,"23","BB",0,386,3,2,1,66.6666666666667
"364",2697,"24","RB",0,389,1,1,0,100
"365",2698,"24","RB",0,389,2,2,0,100
"366",2699,"24","RR",0,386,3,2,1,66.6666666666667
"367",2700,"12","BR",0,395,6,3,3,50
"368",2701,"12","BR",0,398,4,3,1,75
"369",2702,"12","BR",0,386,4,2,2,50
"370",2703,"12","BR",0,392,4,3,1,75
"371",2704,"12","BR",0,395,5,4,1,80
"372",2705,"12","RB",0,401,7,5,2,71.4285714285714
"373",2706,"24","RB",0,392,3,3,0,100
"374",2707,"24","RB",0,377,3,1,2,33.3333333333333
"375",2708,"24","RB",0,401,5,4,1,80
"376",2709,"24","BR",0,401,5,3,2,60
"377",2710,"24","BR",0,401,6,4,2,66.6666666666667
"378",2711,"24","RR",0,395,5,2,3,40
"379",2712,"24","RR",0,383,2,2,0,100
"380",2713,"23","RB",0,386,3,2,1,66.6666666666667
