"","GameNum","LocationCombination","MedicineCombination","Health","Funds","Shot","Destroyed","Missed","PercentDestroyed"
"1",357,"12","RB",3,410,17,15,2,88.2352941176471
"2",359,"13","RR",2,227,16,15,1,93.75
"3",504,"12","BR",1,404,18,13,5,72.2222222222222
"4",512,"12","RB",0,389,18,9,9,50
"5",522,"12","RB",0,395,14,12,2,85.7142857142857
"6",528,"14","RB",0,32,15,12,3,80
"7",584,"13","RR",0,389,16,12,4,75
"8",592,"13","RB",0,389,15,9,6,60
"9",598,"12","RR",3,210,17,15,2,88.2352941176471
"10",619,"12","RR",0,398,16,11,5,68.75
"11",622,"12","RB",0,398,17,11,6,64.7058823529412
"12",665,"13","RR",0,389,17,11,6,64.7058823529412
"13",758,"13","RB",0,401,17,13,4,76.4705882352941
"14",759,"13","RB",3,410,17,15,2,88.2352941176471
"15",760,"13","RB",0,392,17,12,5,70.5882352941177
"16",761,"13","RB",1,404,16,13,3,81.25
"17",762,"13","RB",0,395,16,13,3,81.25
"18",773,"13","RR",0,401,16,13,3,81.25
"19",784,"13","RR",0,401,16,14,2,87.5
"20",835,"12","RB",0,356,17,9,8,52.9411764705882
"21",839,"13","RB",0,325,17,13,4,76.4705882352941
"22",840,"13","RB",0,389,16,10,6,62.5
"23",842,"13","RB",0,401,17,13,4,76.4705882352941
"24",845,"13","RB",0,383,16,8,8,50
"25",849,"13","RB",0,401,17,14,3,82.3529411764706
"26",850,"13","RB",0,392,16,12,4,75
"27",852,"13","RB",1,404,16,14,2,87.5
"28",873,"13","RR",3,410,16,15,1,93.75
"29",874,"13","RR",0,389,16,11,5,68.75
"30",897,"13","RR",1,404,17,15,2,88.2352941176471
"31",928,"12","RB",0,395,17,12,5,70.5882352941177
"32",931,"13","RR",3,239,16,14,2,87.5
"33",961,"12","RB",0,215,14,11,3,78.5714285714286
"34",962,"13","RR",0,401,15,15,0,100
"35",964,"13","RB",1,404,16,13,3,81.25
"36",978,"12","RB",0,389,14,10,4,71.4285714285714
"37",994,"13","RB",0,392,17,12,5,70.5882352941177
"38",997,"13","BR",0,392,17,11,6,64.7058823529412
"39",1028,"13","RB",0,389,16,10,6,62.5
